orig.order,site.no,site.name,n,sess.Sobs,sess.Schao,mob.Sobs,mob.Schao,sess.q.mean,mob.q.mean,sedim.mean,depth.m,sfr.mean,sfr.m,diss.day.cm.mean.orig,diss.day.cm.mean,ann.curr.mean,ann.curr.max,aug.mean,aug.max,ENCA,ENNA,Rfil,Rfol,BOPS,OPCA,AGFI,HYSP,Abie,Lafo,Agla,Hal1,ANLA,Hal2,SYSP,SYAM,CLCE,XEHI,MYLA,SPOT,POPA,LEUC,EPSC,BAEL,Metr,CRFE,Urti,EPLI,GERU,Alcy,DOCO,DOFE,TUCA,TUOT,PSOC,PISP,PHCL,VECO,POMA,BACR,BANU,PSCH,TETR,META,DICA,DIOC,PYST,PEAN,CLHU,APCA,APSO,TCOT,Trid,Chel,Core,CNFI,HAIG,Stye,ASPA,TSOT,PYHA,BOVI,SCUN,EUBI,BREN,DELI,DICL,Cris,CEDI,HEPA,PHPA,DEMU,BRER,SFR,SDR,Hen,PHE,SST,ETR,PTE,Oph,PCA,EQU,CPI,PLU,CUWH,CST,Ton,Mop,LME,Chi,Lot,AMI,CCU,Lim,CLI,CAN,CAL,Tro,Amp,GA1,OLU,TCAn,CFO,FOR,NUC,BMU,GAS,ACO,GHE,DSA,CMO,LCO,CLU,ANA,Dorid,TFE,JFU,DAL,HCR,DDI,Fla,Aeo,SAC,COR,LMA,MQU,Her,Shr,JZO,AHA,Gunnel
11,17,PW,16,28,31,15,16,3.1875,0.5625,61.330625,15.0114,0,0,NA,NA,NA,NA,0.605430108,0.867741935,0.0625,0.875,0.1875,0.5625,0.125,0,0.0625,0,0,0,0,0,0,0,0,0.25,0.0625,0,0,0.4375,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0.1875,0,0.125,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.0625,0,0.0625,0,0,0.125,0,0,0.3125,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0.25,0,0,0
12,9,RW,24,29,35.25,20,20.4,6.416666667,1.208333333,37.37291667,13.6652,0,0,0.620756667,0.620756667,0.3341,0.3598,0.65672043,0.906451613,0.958333333,1,0.625,0.5,0.166666667,0,0.041666667,0.291666667,0,0,0,0,0,0.083333333,0,0,0,0,0.041666667,0.791666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.916666667,0.208333333,0,0,0.875,0.291666667,0,0.041666667,0.041666667,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.166666667,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0.083333333,0.083333333,0,0,0,0,0.083333333,0,0.541666667,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0.083333333,0,0,0,0,0,0,0,0,0,0.375,0,0.041666667,0
13,6,SC,24,56,58.25,27,39.25,12.41666667,2.166666667,0,13.7414,0,0,1.117181333,1.117181333,0.5654,0.6682,1.170698925,1.512903226,0.875,0.875,0.25,0.375,0,0.041666667,0.25,0.291666667,0.208333333,0.125,0,0.166666667,0.083333333,0.166666667,0.083333333,0,0,0,0,0.166666667,0,0.125,0.125,0.708333333,0.541666667,0,0,0,0.041666667,0.166666667,0.166666667,0,0.625,0,0.625,0.166666667,0,0,0,0.083333333,0,0.291666667,0.583333333,0.583333333,0.75,0.333333333,0.458333333,0,0,0,0,0.083333333,0.166666667,0.083333333,0.458333333,0.291666667,0,0.041666667,0,0,0.041666667,0.333333333,0.541666667,0.25,0.75,0.083333333,0.458333333,0.291666667,0,0,0.083333333,0.041666667,0.041666667,0,0,0.125,0,0,0,0,0.083333333,0,0,0,0,0,0,0.125,0.291666667,0.083333333,0,0,0,0,0,0.666666667,0,0,0.333333333,0.583333333,0,0,0.125,0,0,0,0.041666667,0,0,0.125,0,0.083333333,0,0,0,0,0,0.041666667,0,0,0,0,0,0.041666667,0,0,0,0.125,0.041666667,0.041666667,0,0
14,15,SI,20,45,55,30,42.5,10.2,2.55,5.2195,15.30096,0.2,0.04,NA,NA,1.0537,1.3364,2.149731183,3.393548387,0.8,1,0.2,0.4,0,0,0.05,0.25,0.4,0,0,0.1,0.1,0.05,0,0.05,0,0,0.05,0.6,0,0.05,0,0.75,0.3,0,0,0,0,0,0,0.35,0.3,0,0.85,0.15,0,0,0.2,0.1,0,0.9,0.8,0.1,0,0,0,0.05,0,0,0,0.05,0,0,0.1,0.05,0,0,0,0,0,0,0.6,0.15,0.85,0,0.6,0.25,0,0,0,0,0,0.05,0,0,0,0,0,0,0.05,0.05,0,0.1,0,0,0,0.2,0,0.05,0,0.1,0,0,0.05,0.8,0,0,0.4,0.25,0,0.05,0.4,0,0,0,0,0.15,0,0,0,0.1,0,0.05,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0.1,0.1,0,0,0
15,18,SR,20,25,31.4,12,12,2.6,0.3,99.314,15.66672,0,0,NA,NA,NA,NA,0.482956989,0.670967742,0,0,0.05,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0.1,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0,0.1,0,0,0.3,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.1,0,0.05,0,0.05,0,0,0,0,0,0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
16,8,TI,24,59,63,28,48.25,15.29166667,2.25,0,14.6304,1.5,0.3,1.164864667,1.164864667,0.6168,0.7196,1.173924731,1.522580645,0.958333333,0.875,0.291666667,0.666666667,0,0,0.083333333,0.458333333,0.416666667,0.166666667,0.583333333,0.5,0.291666667,0.458333333,0.041666667,0,0,0.333333333,0,0.583333333,0,0,0,0.416666667,0.5,0,0,0,0.083333333,0.291666667,0,0,0.416666667,0,0.583333333,0.375,0,0.041666667,0,0.041666667,0.083333333,0.75,0.5,0.666666667,0.666666667,0.25,0.416666667,0,0,0.208333333,0.125,0,0.041666667,0.041666667,0.166666667,0.041666667,0.083333333,0,0.041666667,0,0,0.25,0.416666667,0.083333333,0.541666667,0.208333333,0.625,0.333333333,0,0,0,0,0.25,0.083333333,0,0.041666667,0,0,0,0,0.333333333,0.041666667,0.041666667,0.041666667,0,0,0,0.25,0.208333333,0.125,0,0,0,0,0.041666667,0.541666667,0,0,0.375,0.125,0.083333333,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0.041666667,0.25,0,0,0,0,0,0.041666667,0.041666667,0,0,0
17,1,TP,24,61,98.5,27,52,12.66666667,1.583333333,0,15.5448,0.166666667,0.033333333,NA,NA,0.5911,0.8224,1.107258065,1.85483871,0.75,1,0.166666667,0.25,0,0,0,0.25,0.041666667,0,0.041666667,0.375,0.208333333,0.333333333,0.125,0,0,0,0.041666667,1,0,0.041666667,0,0.375,0.666666667,0.083333333,0,0,0,0.083333333,0.166666667,0,0.791666667,0,0.666666667,0.166666667,0,0,0.166666667,0.208333333,0,0.5,0.375,0.291666667,0.708333333,0.833333333,0.333333333,0,0.125,0.208333333,0.25,0.041666667,0.25,0,0.041666667,0.083333333,0.041666667,0,0,0,0.125,0.291666667,0.375,0.041666667,0.708333333,0.083333333,0.125,0.041666667,0,0,0.041666667,0,0.041666667,0,0,0.041666667,0.041666667,0,0,0,0,0,0.041666667,0,0,0,0,0,0.166666667,0.041666667,0,0,0,0.041666667,0.041666667,0.958333333,0,0,0.291666667,0.125,0.125,0.041666667,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0.083333333,0.083333333,0.166666667,0,0
18,12,WI,24,41,45.9,30,30,8.791666667,2.375,23.31,15.3924,0,0,0.771373667,0.771373667,0.3598,0.4112,0.724193548,1.035483871,0.833333333,0.958333333,0,0.125,0,0,0.083333333,0.291666667,0,0,0,0,0,0.166666667,0.083333333,0.083333333,0,0,0.083333333,0.125,0.041666667,0,0,0.708333333,0,0,0,0,0,0,0,0,0.791666667,0,0.833333333,0,0,0,0.708333333,0.583333333,0,0.041666667,0.291666667,0.375,0,0,0,0,0,0,0,0,0,0.333333333,0.041666667,0.375,0,0.166666667,0,0.041666667,0.083333333,0.125,0.041666667,0.125,0.875,0,0.625,0.208333333,0,0.041666667,0.25,0,0,0,0,0,0,0,0,0,0.041666667,0,0,0,0,0,0,0.125,0.208333333,0.041666667,0.041666667,0,0,0,0,0.166666667,0.041666667,0.375,0.041666667,0.166666667,0,0.208333333,0,0,0,0.416666667,0.041666667,0.208333333,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0,0.041666667,0,0.166666667,0.25,0.291666667,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
