"","quad","site","real.date","comm.date","month","urch","chit","treat","BASP","CCAP","EALM","RFSP","OPCA","RBSP","AGFI","BFSP","DICL","Cris","HEPA","PHPA","BRUP","HBCO","SPS1","SPS3","SPS8","SPS9","SPS10","SPOT","MSP1","SYSP","SCUN","BRSH","EUBI","DELI","HYSP","EPSC","BAEL","MEFA.t","GERU","DOCO","DOFE","TUBE","PSOC","VECO","BACR","PSCH","TETR","CHHA","POMA","META","PYST","PEAN","CLHU","DICA","TCM3","DITR","EUPU","SYPA","APPO","APSO","TCM2","TCOT","BOVI","Chel","Core","CNFI","HAIG","Stye","ASPA","TSV1","TSV2","TSOT","INOT","OTHE","SHEL","FUZZ","RUBB"
"26","PG1_8","PG","10-Dec-07",39426,712,"u_con","c_con","u_con.c_con",0.002178649,0.444444444,0.002178649,0,0,0.002178649,0.233115468,0,0.006535948,0.004357298,0,0,0,0.283224401,0,0,0,0.004357298,0,0,0,0,0,0,0,0,0.006535948,0,0.008714597,0,0,0,0,0,0,0,0,0,0.002178649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","PG1_96","PG","10-Dec-07",39426,712,"u_con","c_rem","u_con.c_rem",0,0.318171633,0.015684517,0,0,0.004481291,0.022406453,0,0.002240645,0.018037195,0,0,0,0.201658078,0,0,0,0.017925162,0,0.008962581,0,0,0.004481291,0.015684517,0.309209052,0,0,0,0.00941071,0,0,0,0,0,0.000112032,0,0,0,0.006721936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044812906,0
"28","PG1_97","PG","10-Dec-07",39426,712,"u_con","c_con","u_con.c_con",0,0.010893246,0.010893246,0,0,0.004357298,0,0,0,0.071895425,0,0,0,0.433551198,0,0.013071895,0,0,0,0,0,0,0.002178649,0.006535948,0,0,0.411764706,0,0.013071895,0,0,0,0,0,0,0,0,0,0.004357298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017429194,0
"29","PG2_10","PG","10-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0.006408887,0.01495407,0.237128819,0,0,0.017090365,0,0,0.012817774,0,0,0,0,0.446485794,0,0,0,0,0,0,0,0,0,0.002136296,0.209356975,0,0.034180731,0,0.004272591,0,0,0,0,0,0.00021363,0,0,0,0.010681478,0,0,0,0,0,0,0,0,0,0,0,0,0.002136296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002136296
"30","PG2_27","PG","10-Dec-07",39426,712,"u_rem","c_con","u_rem.c_con",0.004380681,0.070090899,0.070090899,0,0,0.008761362,0,0,0.013142044,0,0,0,0,0.378928923,0,0,0,0,0.024203264,0,0.000438068,0.002190341,0.002190341,0,0.378928923,0,0.002190341,0,0.004380681,0,0,0,0,0.002737926,0.002190341,0,0,0,0.000109517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002190341,0,0,0,0,0,0,0,0,0,0,0,0.030664768,0.002190341
"31","PG2_98","PG","10-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0.006890216,0.048690859,0.40192926,0,0,0,0.004593477,0,0,0,0,0,0,0.379076711,0,0,0,0,0,0,0,0,0,0.01159853,0.112540193,0,0.004593477,0,0.004593477,0,0,0.004708314,0,0,0.000114837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002296739,0,0,0,0,0,0,0,0,0,0,0,0.018373909,0
"32","PG2_99","PG","10-Dec-07",39426,712,"u_rem","c_con","u_rem.c_con",0.008797976,0.090289233,0.026393929,0,0,0.026393929,0,0,0.026503904,0,0,0,0,0.527878588,0,0,0,0,0.006598482,0,0.000549874,0,0.002309469,0.000109975,0.268338282,0,0,0,0.011107445,0,0,0,0,0.002199494,0.000329924,0,0,0,0.002199494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","PG3_0","PG","10-Dec-07",39426,712,"u_con","c_con","u_con.c_con",0.004344992,0.410710406,0.091353465,0,0,0.069519878,0,0.004344992,0,0,0,0,0,0.349880513,0,0,0,0,0,0,0.008907234,0,0.006517489,0,0.034759939,0,0.006517489,0,0.006517489,0,0,0,0,0.002281121,0,0,0,0,0,0,0,0,0,0,0,0.004344992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","PG3_11","PG","10-Dec-07",39426,712,"u_con","c_rem","u_con.c_rem",0,0.188258445,0.54662731,0,0,0.006559528,0,0,0,0,0,0,0,0.231879305,0,0,0,0,0,0,0.002295835,0,0.006559528,0.002186509,0.004373018,0,0,0,0.004373018,0,0,0.004373018,0,0,0.000218651,0,0,0,0,0,0,0,0,0,0,0.002295835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","PG3_15","PG","10-Dec-07",39426,712,"u_con","c_con","u_con.c_con",0,0.089724418,0.098269601,0.002136296,0,0.074770348,0,0,0,0,0,0,0,0.557573168,0,0,0,0,0,0,0.00224311,0,0.015060884,0,0.121768853,0,0.01495407,0,0,0,0,0,0,0.010681478,0,0,0,0,0.002136296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002136296,0,0,0,0,0,0,0,0,0,0.002136296,0.002136296
