Region,Site,Site.no,Transect,Photo,Initials,space.raw,sedim.raw,space,sedim,space.per,sedim.per,richness,richplus,mob.count,mob.rich
Channel,TI,8,TI4_50,P1010063,WG,10,0,0.06,0.00,6.25,0.00,19.00,20.00,5.00,4
Channel,TI,8,TI4_50,P1010064,WG,27,0,0.17,0.00,16.88,0.00,17.00,19.00,4.00,2
Channel,TI,8,TI4_50,P1010065,WG,36,0,0.23,0.00,22.50,0.00,11.00,13.00,4.00,2
Channel,TI,8,TI4_50,P1010066,WG,31,0,0.19,0.00,19.38,0.00,15.00,17.00,2.00,2
Channel,TI,8,TI5_59,P1010068,WG,13,0,0.08,0.00,8.13,0.00,15.00,17.00,2.00,2
Channel,TI,8,TI5_59,P1010069,WG,3,0,0.02,0.00,1.88,0.00,8.00,10.00,0.00,0
Channel,TI,8,TI5_59,P1010070,WG,13,0,0.08,0.00,8.13,0.00,12.00,14.00,0.00,0
Channel,TI,8,TI5_59,P1010071,WG,14,0,0.09,0.00,8.75,0.00,17.00,19.00,3.00,2
Channel,TI,8,TI6_51,P1010073,WG,11,0,0.07,0.00,6.88,0.00,15.00,17.00,0.00,0
Channel,TI,8,TI6_51,P1010074,WG,20,0,0.13,0.00,12.50,0.00,19.00,21.00,5.00,3
Channel,TI,8,TI6_51,P1010075,WG,4,0,0.03,0.00,2.50,0.00,13.00,14.00,0.00,0
Channel,TI,8,TI6_51,P1010076,WG,5,0,0.03,0.00,3.13,0.00,15.00,17.00,4.00,4
Haro,TP,1,TP1_47,P1010241,WG,2,0,0.01,0.00,1.25,0.00,10.00,12.00,0.00,0
Haro,TP,1,TP1_47,P1010242,WG,4,0,0.03,0.00,2.50,0.00,8.00,10.00,0.00,0
Haro,TP,1,TP1_47,P1010243,WG,19,0,0.12,0.00,11.88,0.00,6.00,8.00,1.00,1
Haro,TP,1,TP1_47,P1010244,WG,13,0,0.08,0.00,8.13,0.00,11.00,13.00,0.00,0
Haro,TP,1,TP2_67,P1010246,WG,16,0,0.10,0.00,10.00,0.00,14.00,15.00,1.00,1
Haro,TP,1,TP2_67,P1010247,WG,33,0,0.21,0.00,20.63,0.00,11.00,12.00,2.00,2
Haro,TP,1,TP2_67,P1010248,WG,19,0,0.12,0.00,11.88,0.00,11.00,13.00,2.00,1
Haro,TP,1,TP2_67,P1010249,WG,9,0,0.06,0.00,5.63,0.00,7.00,8.00,2.00,1
Haro,TP,1,TP3_60,P1010250,WG,33,0,0.21,0.00,20.63,0.00,17.00,19.00,2.00,2
Haro,TP,1,TP3_60,P1010251,WG,21,0,0.13,0.00,13.13,0.00,12.00,14.00,1.00,1
Haro,TP,1,TP3_60,P1010252,WG,34,0,0.21,0.00,21.25,0.00,16.00,18.00,1.00,1
Haro,TP,1,TP3_60,P1010253,WG,43,0,0.27,0.00,26.88,0.00,16.00,18.00,0.00,0
Haro,TP,1,TP4_49,P1010257,WG,61,0,0.38,0.00,38.13,0.00,13.00,15.00,5.00,5
Haro,TP,1,TP4_49,P1010258,WG,46,0,0.29,0.00,28.75,0.00,17.00,19.00,8.00,3
Haro,TP,1,TP4_49,P1010259,WG,53,0,0.33,0.00,33.13,0.00,20.00,22.00,11.00,4
Haro,TP,1,TP4_49,P1010260,WG,27,0,0.17,0.00,16.88,0.00,17.00,19.00,4.00,1
Haro,TP,1,TP6_62,P1010267,WG,26,0,0.16,0.00,16.25,0.00,10.00,12.00,4.00,3
Haro,TP,1,TP6_62,P1010268,WG,41,0,0.26,0.00,25.63,0.00,8.00,9.00,6.00,4
Haro,TP,1,TP6_62,P1010269,WG,56,0,0.35,0.00,35.00,0.00,10.00,11.00,1.00,1
Haro,TP,1,TP6_62,P1010270,WG,44,0,0.28,0.00,27.50,0.00,8.00,9.00,0.00,0
Haro,TP,1,TP7_48,P1010273,WG,43,0,0.27,0.00,26.88,0.00,15.00,17.00,0.00,0
Haro,TP,1,TP7_48,P1010274,WG,46,0,0.29,0.00,28.75,0.00,15.00,17.00,2.00,1
Haro,TP,1,TP7_48,P1010276,WG,74,0,0.46,0.00,46.25,0.00,15.00,17.00,2.00,2
Haro,TP,1,TP7_48,P1010277,WG,45,0,0.28,0.00,28.13,0.00,17.00,19.00,4.00,4
Haro,KB,2,KB1_51,P1010003,WG,27,0,0.17,0.00,16.88,0.00,18.00,20.00,2.00,2
Haro,KB,2,KB1_51,P1010004,WG,57,0,0.36,0.00,35.63,0.00,12.00,14.00,8.00,5
Haro,KB,2,KB1_51,P1010005,WG,44,0,0.28,0.00,27.50,0.00,8.00,10.00,5.00,5
Haro,KB,2,KB1_51,P1010006,WG,71,0,0.44,0.00,44.38,0.00,13.00,15.00,9.00,4
Haro,KB,2,KB2_55,P1010007,WG,18,0,0.11,0.00,11.25,0.00,16.00,18.00,0.00,0
Haro,KB,2,KB2_55,P1010008,WG,28,0,0.18,0.00,17.50,0.00,17.00,19.00,3.00,3
Haro,KB,2,KB2_55,P1010009,WG,22,0,0.14,0.00,13.75,0.00,19.00,21.00,1.00,1
Haro,KB,2,KB2_55,P1010010,WG,29,0,0.18,0.00,18.13,0.00,16.00,17.00,5.00,3
Haro,KB,2,KB3_60,P1010012,WG,17,0,0.11,0.00,10.63,0.00,20.00,22.00,4.00,4
Haro,KB,2,KB3_60,P1010013,WG,11,0,0.07,0.00,6.88,0.00,19.00,20.00,5.00,4
Haro,KB,2,KB3_60,P1010014,WG,15,0,0.09,0.00,9.38,0.00,18.00,19.00,2.00,2
Haro,KB,2,KB3_60,P1010015,WG,24,0,0.15,0.00,15.00,0.00,18.00,20.00,1.00,1
Haro,KB,2,KB4_53,P1010017,WG,25,0,0.16,0.00,15.63,0.00,16.00,18.00,3.00,1
Haro,KB,2,KB4_53,P1010018,WG,21,0,0.13,0.00,13.13,0.00,22.00,23.00,4.00,3
Haro,KB,2,KB4_53,P1010019,WG,30,0,0.19,0.00,18.75,0.00,15.00,17.00,2.00,2
Haro,KB,2,KB4_53,P1010020,WG,25,0,0.16,0.00,15.63,0.00,16.00,18.00,1.00,1
Haro,KB,2,KB5_54,P1010022,WG,54,0,0.34,0.00,33.75,0.00,22.00,24.00,3.00,3
Haro,KB,2,KB5_54,P1010023,WG,39,0,0.24,0.00,24.38,0.00,18.00,20.00,4.00,3
Haro,KB,2,KB5_54,P1010024,WG,50,0,0.31,0.00,31.25,0.00,18.00,20.00,5.00,4
Haro,KB,2,KB5_54,P1010025,WG,38,0,0.24,0.00,23.75,0.00,19.00,21.00,2.00,2
Haro,KB,2,KB6_47,P1010029,WG,36,0,0.23,0.00,22.50,0.00,14.00,16.00,18.00,7
Haro,KB,2,KB6_47,P1010031,WG,64,0,0.40,0.00,40.00,0.00,16.00,18.00,20.00,9
Haro,KB,2,KB6_47,P1010032,WG,41,0,0.26,0.00,25.63,0.00,16.00,18.00,0.00,0
Haro,KB,2,KB6_47,P1010033,WG,35,0,0.22,0.00,21.88,0.00,17.00,18.00,0.00,0
Haro,LK,3,LK3_56,P1010356,WG,44,0,0.28,0.00,27.50,0.00,7.00,9.00,17.00,3
Haro,LK,3,LK3_56,P1010359,WG,66,0,0.41,0.00,41.25,0.00,11.00,13.00,4.00,3
Haro,LK,3,LK3_56,P1010360,WG,66,0,0.41,0.00,41.25,0.00,12.00,14.00,9.00,4
Haro,LK,3,LK3_56,P1010361,WG,83,0,0.52,0.00,51.88,0.00,12.00,14.00,6.00,6
Haro,LK,3,LK4_52,P1010363,WG,53,0,0.33,0.00,33.13,0.00,7.00,9.00,3.00,2
Haro,LK,3,LK4_52,P1010364,WG,63,0,0.39,0.00,39.38,0.00,15.00,17.00,4.00,3
Haro,LK,3,LK4_52,P1010365,WG,46,0,0.29,0.00,28.75,0.00,11.00,13.00,4.00,2
Haro,LK,3,LK4_52,P1010366,WG,50,0,0.31,0.00,31.25,0.00,12.00,14.00,4.00,4
Haro,LK,3,LK5_56,P1010368,WG,74,0,0.46,0.00,46.25,0.00,10.00,12.00,1.00,1
Haro,LK,3,LK5_56,P1010369,WG,73,0,0.46,0.00,45.63,0.00,12.00,14.00,6.00,5
Haro,LK,3,LK5_56,P1010370,WG,64,0,0.40,0.00,40.00,0.00,10.00,12.00,6.00,4
Haro,LK,3,LK5_56,P1010371,WG,62,0,0.39,0.00,38.75,0.00,8.00,10.00,2.00,2
Haro,LK,3,LK6_48,P1010373,WG,56,0,0.35,0.00,35.00,0.00,11.00,13.00,7.00,4
Haro,LK,3,LK6_48,P1010374,WG,68,0,0.43,0.00,42.50,0.00,11.00,13.00,7.00,5
Haro,LK,3,LK6_48,P1010375,WG,69,0,0.43,0.00,43.13,0.00,12.00,14.00,4.00,3
Haro,LK,3,LK6_48,P1010376,WG,56,0,0.35,0.00,35.00,0.00,9.00,10.00,8.00,6
Haro,LK,3,LK7_63,P1010378,WG,65,0,0.41,0.00,40.63,0.00,8.00,10.00,5.00,4
Haro,LK,3,LK7_63,P1010379,WG,58,0,0.36,0.00,36.25,0.00,16.00,18.00,6.00,5
Haro,LK,3,LK7_63,P1010380,WG,58,0,0.36,0.00,36.25,0.00,9.00,11.00,3.00,3
Haro,LK,3,LK7_63,P1010381,WG,60,0,0.38,0.00,37.50,0.00,8.00,10.00,9.00,6
Haro,LK,3,LK8_65,P1010383,WG,54,0,0.34,0.00,33.75,0.00,12.00,14.00,9.00,6
Haro,LK,3,LK8_65,P1010384,WG,47,0,0.29,0.00,29.38,0.00,14.00,16.00,6.00,4
Haro,LK,3,LK8_65,P1010385,WG,24,0,0.15,0.00,15.00,0.00,12.00,14.00,0.00,0
Haro,LK,3,LK8_65,P1010386,WG,48,0,0.30,0.00,30.00,0.00,13.00,15.00,2.00,2
Haro,LI,4,LI2_63,P1010190,WG,27,0,0.17,0.00,16.88,0.00,18.00,20.00,1.00,1
Haro,LI,4,LI2_63,P1010191,WG,44,0,0.28,0.00,27.50,0.00,20.00,22.00,10.00,5
Haro,LI,4,LI2_63,P1010192,WG,28,0,0.18,0.00,17.50,0.00,13.00,15.00,10.00,6
Haro,LI,4,LI2_63,P1010193,WG,28,0,0.18,0.00,17.50,0.00,15.00,17.00,11.00,5
Haro,LI,4,LI3_49,P1010196,WG,42,0,0.26,0.00,26.25,0.00,13.00,15.00,24.00,8
Haro,LI,4,LI3_49,P1010197,WG,43,0,0.27,0.00,26.88,0.00,8.00,10.00,32.00,7
Haro,LI,4,LI3_49,P1010200,WG,55,0,0.34,0.00,34.38,0.00,15.00,17.00,5.00,4
Haro,LI,4,LI3_49,P1010201,WG,52,0,0.33,0.00,32.50,0.00,6.00,8.00,4.00,4
Haro,LI,4,LI5_60,P1010209,WG,59,0,0.37,0.00,36.88,0.00,14.00,16.00,63.00,5
Haro,LI,4,LI5_60,P1010210,WG,56,0,0.35,0.00,35.00,0.00,9.00,11.00,84.00,4
Haro,LI,4,LI5_60,P1010211,WG,52,0,0.33,0.00,32.50,0.00,7.00,9.00,53.00,5
Haro,LI,4,LI5_60,P1010212,WG,77,0,0.48,0.00,48.13,0.00,7.00,9.00,20.00,9
Haro,LI,4,LI6_56,P1010214,WG,49,0,0.31,0.00,30.63,0.00,9.00,11.00,3.00,3
Haro,LI,4,LI6_56,P1010215,WG,33,0,0.21,0.00,20.63,0.00,15.00,17.00,3.00,1
Haro,LI,4,LI6_56,P1010216,WG,52,0,0.33,0.00,32.50,0.00,13.00,15.00,6.00,3
Haro,LI,4,LI6_56,P1010217,WG,59,0,0.37,0.00,36.88,0.00,11.00,13.00,7.00,6
Haro,LI,4,LI7_54,P1010220,WG,47,0,0.29,0.00,29.38,0.00,13.00,15.00,4.00,3
Haro,LI,4,LI7_54,P1010221,WG,29,0,0.18,0.00,18.13,0.00,9.00,11.00,1.00,1
Haro,LI,4,LI7_54,P1010222,WG,27,0,0.17,0.00,16.88,0.00,7.00,9.00,1.00,1
Haro,LI,4,LI7_54,P1010223,WG,22,0,0.14,0.00,13.75,0.00,7.00,8.00,0.00,0
Haro,LI,4,LI8_50,P1010225,WG,44,0,0.28,0.00,27.50,0.00,14.00,16.00,6.00,5
Haro,LI,4,LI8_50,P1010226,WG,57,0,0.36,0.00,35.63,0.00,16.00,18.00,9.00,5
Haro,LI,4,LI8_50,P1010227,WG,35,0,0.22,0.00,21.88,0.00,8.00,9.00,4.00,2
Haro,LI,4,LI8_50,P1010228,WG,20,0,0.13,0.00,12.50,0.00,5.00,7.00,0.00,0
Georgia,LB,13,LB1_58,P1010140,WG,18,6,0.11,0.04,11.25,3.75,11.00,13.00,5.00,4
Georgia,LB,13,LB1_58,P1010141,WG,17,13,0.11,0.08,10.63,8.13,8.00,9.00,7.00,3
Georgia,LB,13,LB1_58,P1010142,WG,38,4,0.24,0.03,23.75,2.50,8.00,10.00,7.00,5
Georgia,LB,13,LB1_58,P1010143,WG,15,1,0.09,0.01,9.38,0.63,9.00,10.00,5.00,2
Georgia,LB,13,LB2_66,P1010145,WG,16,6,0.10,0.04,10.00,3.75,11.00,12.00,4.00,4
Georgia,LB,13,LB2_66,P1010146,WG,2,4,0.01,0.03,1.25,2.50,10.00,11.00,3.00,2
Georgia,LB,13,LB2_66,P1010147,WG,8,1,0.05,0.01,5.00,0.63,8.00,10.00,4.00,4
Georgia,LB,13,LB2_66,P1010148,WG,4,0,0.03,0.00,2.50,0.00,11.00,12.00,3.00,2
Georgia,LB,13,LB3_58,P1010150,WG,19,2,0.12,0.01,11.88,1.25,9.00,11.00,5.00,2
Georgia,LB,13,LB3_58,P1010151,WG,13,10,0.08,0.06,8.13,6.25,15.00,17.00,4.00,3
Georgia,LB,13,LB3_58,P1010152,WG,0,12,0.00,0.08,0.00,7.50,10.00,10.00,1.00,1
Georgia,LB,13,LB3_58,P1010153,WG,15,9,0.09,0.06,9.38,5.63,13.00,14.00,5.00,2
Georgia,LB,13,LB5_64,P1010161,WG,24,7,0.15,0.04,15.00,4.38,6.00,8.00,1.00,1
Georgia,LB,13,LB5_64,P1010162,WG,7,0,0.04,0.00,4.38,0.00,10.00,11.00,1.00,1
Georgia,LB,13,LB5_64,P1010163,WG,11,2,0.07,0.01,6.88,1.25,11.00,12.00,3.00,3
Georgia,LB,13,LB5_64,P1010164,WG,9,7,0.06,0.04,5.63,4.38,9.00,11.00,4.00,3
Georgia,LB,13,LB6_62,P1010166,WG,43,0,0.27,0.00,26.88,0.00,10.00,12.00,3.00,3
Georgia,LB,13,LB6_62,P1010167,WG,20,0,0.13,0.00,12.50,0.00,14.00,16.00,1.00,1
Georgia,LB,13,LB6_62,P1010168,WG,19,1,0.12,0.01,11.88,0.63,13.00,14.00,6.00,5
Georgia,LB,13,LB6_62,P1010169,WG,12,6,0.08,0.04,7.50,3.75,14.00,15.00,0.00,0
Georgia,LB,13,LB7_50,P1010170,WG,23,0,0.14,0.00,14.38,0.00,7.00,9.00,9.00,5
Georgia,LB,13,LB7_50,P1010171,WG,36,0,0.23,0.00,22.50,0.00,12.00,14.00,4.00,3
Georgia,LB,13,LB7_50,P1010172,WG,17,3,0.11,0.02,10.63,1.88,7.00,9.00,4.00,3
Georgia,LB,13,LB7_50,P1010173,WG,42,4,0.26,0.03,26.25,2.50,7.00,9.00,5.00,2
Georgia,LP,14,LP1_60,P1010178,WG,28,19,0.18,0.12,17.50,11.88,12.00,14.00,2.00,2
Georgia,LP,14,LP1_60,P1010179,WG,50,2,0.31,0.01,31.25,1.25,12.00,14.00,5.00,4
Georgia,LP,14,LP1_60,P1010180,WG,50,2,0.31,0.01,31.25,1.25,16.00,18.00,4.00,2
Georgia,LP,14,LP1_60,P1010181,WG,50,0,0.31,0.00,31.25,0.00,15.00,17.00,6.00,4
Georgia,LP,14,LP2_64,P1010183,WG,28,2,0.18,0.01,17.50,1.25,13.00,15.00,3.00,2
Georgia,LP,14,LP2_64,P1010184,WG,39,4,0.24,0.03,24.38,2.50,13.00,15.00,2.00,2
Georgia,LP,14,LP2_64,P1010185,WG,35,3,0.22,0.02,21.88,1.88,14.00,16.00,5.00,3
Georgia,LP,14,LP2_64,P1010186,WG,38,0,0.24,0.00,23.75,0.00,12.00,14.00,2.00,2
Georgia,LP,14,LP3_58,P1010190,WG,38,0,0.24,0.00,23.75,0.00,11.00,13.00,17.00,7
Georgia,LP,14,LP3_58,P1010191,WG,44,0,0.28,0.00,27.50,0.00,11.00,13.00,7.00,4
Georgia,LP,14,LP3_58,P1010192,WG,45,0,0.28,0.00,28.13,0.00,13.00,15.00,8.00,3
Georgia,LP,14,LP3_58,P1010193,WG,57,6,0.36,0.04,35.63,3.75,11.00,13.00,11.00,6
Georgia,LP,14,LP4_51,P1010195,WG,69,10,0.43,0.06,43.13,6.25,13.00,15.00,4.00,4
Georgia,LP,14,LP4_51,P1010196,WG,58,35,0.36,0.22,36.25,21.88,13.00,14.00,1.00,1
Georgia,LP,14,LP4_51,P1010197,WG,64,0,0.40,0.00,40.00,0.00,16.00,18.00,7.00,5
Georgia,LP,14,LP4_51,P1010198,WG,75,3,0.47,0.02,46.88,1.88,14.00,16.00,5.00,4
Georgia,LP,14,LP5_49,P1010200,WG,34,6,0.21,0.04,21.25,3.75,12.00,14.00,9.00,5
Georgia,LP,14,LP5_49,P1010201,WG,38,5,0.24,0.03,23.75,3.13,16.00,18.00,4.00,3
Georgia,LP,14,LP5_49,P1010202,WG,55,4,0.34,0.03,34.38,2.50,14.00,16.00,6.00,4
Georgia,LP,14,LP5_49,P1010203,WG,54,23,0.34,0.14,33.75,14.38,12.00,14.00,3.00,3
Georgia,LP,14,LP6_54,P1010205,WG,42,0,0.26,0.00,26.25,0.00,15.00,17.00,4.00,3
Georgia,LP,14,LP6_54,P1010206,WG,29,0,0.18,0.00,18.13,0.00,14.00,15.00,2.00,1
Georgia,LP,14,LP6_54,P1010207,WG,26,0,0.16,0.00,16.25,0.00,13.00,15.00,2.00,2
Georgia,LP,14,LP6_54,P1010208,WG,18,0,0.11,0.00,11.25,0.00,16.00,17.00,6.00,4
Georgia,SI,15,SI1_52,P1010128,WG,42,4,0.26,0.03,26.25,2.50,14.00,16.00,2.00,2
Georgia,SI,15,SI1_52,P1010130,WG,41,2,0.26,0.01,25.63,1.25,13.00,15.00,3.00,3
Georgia,SI,15,SI1_52,P1010131,WG,47,9,0.29,0.06,29.38,5.63,9.00,11.00,3.00,3
Georgia,SI,15,SI1_52,P1010132,WG,52,2,0.33,0.01,32.50,1.25,10.00,12.00,1.00,1
Georgia,SI,15,SI2_53,P1010134,WG,53,8,0.33,0.05,33.13,5.00,11.00,13.00,3.00,3
