Retention,Region,Reg,Site,Site.no,Transect,Photo,Initials,space.raw,sedim.raw,space,sedim,space.per,sedim.per,richness,richplus,mob.count,mob.rich
Low,Channel,B,TI,8,TI5_59,P1010069,WG,3,0,0.02,0,1.88,0,8,10,0,0
Low,Channel,B,TI,8,TI5_59,P1010070,WG,13,0,0.08,0,8.13,0,12,14,0,0
Low,Channel,B,TI,8,TI5_59,P1010071,WG,14,0,0.09,0,8.75,0,17,19,3,2
Low,Channel,B,TI,8,TI6_51,P1010073,WG,11,0,0.07,0,6.88,0,15,17,0,0
Low,Channel,B,TI,8,TI6_51,P1010074,WG,20,0,0.13,0,12.5,0,19,21,5,3
Low,Channel,B,TI,8,TI6_51,P1010075,WG,4,0,0.03,0,2.5,0,13,14,0,0
Low,Channel,B,TI,8,TI6_51,P1010076,WG,5,0,0.03,0,3.13,0,15,17,4,4
Low,Haro,B,TP,1,TP1_47,P1010241,WG,2,0,0.01,0,1.25,0,10,12,0,0
Low,Haro,A,TP,1,TP1_47,P1010242,WG,4,0,0.03,0,2.5,0,8,10,0,0
Low,Haro,A,TP,1,TP1_47,P1010243,WG,19,0,0.12,0,11.88,0,6,8,1,1
Low,Haro,A,TP,1,TP1_47,P1010244,WG,13,0,0.08,0,8.13,0,11,13,0,0
Low,Haro,A,TP,1,TP2_67,P1010246,WG,16,0,0.1,0,10,0,14,15,1,1
Low,Haro,A,TP,1,TP2_67,P1010247,WG,33,0,0.21,0,20.63,0,11,12,2,2
Low,Haro,A,TP,1,TP2_67,P1010248,WG,19,0,0.12,0,11.88,0,11,13,2,1
Low,Haro,A,TP,1,TP2_67,P1010249,WG,9,0,0.06,0,5.63,0,7,8,2,1
Low,Haro,A,TP,1,TP3_60,P1010250,WG,33,0,0.21,0,20.63,0,17,19,2,2
Low,Haro,A,TP,1,TP3_60,P1010251,WG,21,0,0.13,0,13.13,0,12,14,1,1
Low,Haro,A,TP,1,TP3_60,P1010252,WG,34,0,0.21,0,21.25,0,16,18,1,1
Low,Haro,A,TP,1,TP3_60,P1010253,WG,43,0,0.27,0,26.88,0,16,18,0,0
Low,Haro,A,TP,1,TP4_49,P1010257,WG,61,0,0.38,0,38.13,0,13,15,5,5
Low,Haro,A,TP,1,TP4_49,P1010258,WG,46,0,0.29,0,28.75,0,17,19,8,3
Low,Haro,A,TP,1,TP4_49,P1010259,WG,53,0,0.33,0,33.13,0,20,22,11,4
Low,Haro,A,TP,1,TP4_49,P1010260,WG,27,0,0.17,0,16.88,0,17,19,4,1
Low,Haro,A,TP,1,TP6_62,P1010267,WG,26,0,0.16,0,16.25,0,10,12,4,3
Low,Haro,A,TP,1,TP6_62,P1010268,WG,41,0,0.26,0,25.63,0,8,9,6,4
Low,Haro,A,TP,1,TP6_62,P1010269,WG,56,0,0.35,0,35,0,10,11,1,1
Low,Haro,A,TP,1,TP6_62,P1010270,WG,44,0,0.28,0,27.5,0,8,9,0,0
Low,Haro,A,TP,1,TP7_48,P1010273,WG,43,0,0.27,0,26.88,0,15,17,0,0
Low,Haro,A,TP,1,TP7_48,P1010274,WG,46,0,0.29,0,28.75,0,15,17,2,1
Low,Haro,A,TP,1,TP7_48,P1010276,WG,74,0,0.46,0,46.25,0,15,17,2,2
Low,Haro,A,TP,1,TP7_48,P1010277,WG,45,0,0.28,0,28.13,0,17,19,4,4
Low,Haro,A,KB,2,KB1_51,P1010003,WG,27,0,0.17,0,16.88,0,18,20,2,2
Low,Haro,A,KB,2,KB1_51,P1010004,WG,57,0,0.36,0,35.63,0,12,14,8,5
Low,Haro,A,KB,2,KB1_51,P1010005,WG,44,0,0.28,0,27.5,0,8,10,5,5
Low,Haro,A,KB,2,KB1_51,P1010006,WG,71,0,0.44,0,44.38,0,13,15,9,4
Low,Haro,A,KB,2,KB2_55,P1010007,WG,18,0,0.11,0,11.25,0,16,18,0,0
Low,Haro,A,KB,2,KB2_55,P1010008,WG,28,0,0.18,0,17.5,0,17,19,3,3
Low,Haro,A,KB,2,KB2_55,P1010009,WG,22,0,0.14,0,13.75,0,19,21,1,1
Low,Haro,A,KB,2,KB2_55,P1010010,WG,29,0,0.18,0,18.13,0,16,17,5,3
Low,Haro,A,KB,2,KB3_60,P1010012,WG,17,0,0.11,0,10.63,0,20,22,4,4
Low,Haro,A,KB,2,KB3_60,P1010013,WG,11,0,0.07,0,6.88,0,19,20,5,4
Low,Haro,A,KB,2,KB3_60,P1010014,WG,15,0,0.09,0,9.38,0,18,19,2,2
Low,Haro,A,KB,2,KB3_60,P1010015,WG,24,0,0.15,0,15,0,18,20,1,1
Low,Haro,A,KB,2,KB4_53,P1010017,WG,25,0,0.16,0,15.63,0,16,18,3,1
Low,Haro,A,KB,2,KB4_53,P1010018,WG,21,0,0.13,0,13.13,0,22,23,4,3
Low,Haro,A,KB,2,KB4_53,P1010019,WG,30,0,0.19,0,18.75,0,15,17,2,2
Low,Haro,A,KB,2,KB4_53,P1010020,WG,25,0,0.16,0,15.63,0,16,18,1,1
Low,Haro,A,KB,2,KB5_54,P1010022,WG,54,0,0.34,0,33.75,0,22,24,3,3
Low,Haro,A,KB,2,KB5_54,P1010023,WG,39,0,0.24,0,24.38,0,18,20,4,3
Low,Haro,A,KB,2,KB5_54,P1010024,WG,50,0,0.31,0,31.25,0,18,20,5,4
Low,Haro,A,KB,2,KB5_54,P1010025,WG,38,0,0.24,0,23.75,0,19,21,2,2
Low,Haro,A,KB,2,KB6_47,P1010029,WG,36,0,0.23,0,22.5,0,14,16,18,7
Low,Haro,A,KB,2,KB6_47,P1010031,WG,64,0,0.4,0,40,0,16,18,20,9
Low,Haro,A,KB,2,KB6_47,P1010032,WG,41,0,0.26,0,25.63,0,16,18,0,0
Low,Haro,A,KB,2,KB6_47,P1010033,WG,35,0,0.22,0,21.88,0,17,18,0,0
Low,Haro,A,LK,3,LK3_56,P1010356,WG,44,0,0.28,0,27.5,0,7,9,17,3
Low,Haro,A,LK,3,LK3_56,P1010359,WG,66,0,0.41,0,41.25,0,11,13,4,3
Low,Haro,A,LK,3,LK3_56,P1010360,WG,66,0,0.41,0,41.25,0,12,14,9,4
Low,Haro,A,LK,3,LK3_56,P1010361,WG,83,0,0.52,0,51.88,0,12,14,6,6
Low,Haro,A,LK,3,LK4_52,P1010363,WG,53,0,0.33,0,33.13,0,7,9,3,2
Low,Haro,A,LK,3,LK4_52,P1010364,WG,63,0,0.39,0,39.38,0,15,17,4,3
Low,Haro,A,LK,3,LK4_52,P1010365,WG,46,0,0.29,0,28.75,0,11,13,4,2
Low,Haro,A,LK,3,LK4_52,P1010366,WG,50,0,0.31,0,31.25,0,12,14,4,4
Low,Haro,A,LK,3,LK5_56,P1010368,WG,74,0,0.46,0,46.25,0,10,12,1,1
Low,Haro,A,LK,3,LK5_56,P1010369,WG,73,0,0.46,0,45.63,0,12,14,6,5
Low,Haro,A,LK,3,LK5_56,P1010370,WG,64,0,0.4,0,40,0,10,12,6,4
Low,Haro,A,LK,3,LK5_56,P1010371,WG,62,0,0.39,0,38.75,0,8,10,2,2
Low,Haro,A,LK,3,LK6_48,P1010373,WG,56,0,0.35,0,35,0,11,13,7,4
